,meta,meta,delta,delta,2perc,2perc,0perc,0perc
,sid,Metabolites,min,max,sd,avg,sd,avg
0,s_0162,Isopropylmalate,-0.00021989938772866576,0.0011533394923126654,0.000827991955421,0.001785634490019,0.000225293791574,0.001318914437727
1,s_1021,L-leucine,0.14972376875017693,0.241325859713057,0.055156208452135,0.436392211577137,0.015301622817327,0.24086739734552
2,s_1029,L-methionine,0.08234396822946974,0.17754760353676427,0.056006387978434,0.423786241348833,0.020058172507575,0.293840455465716
3,s_0955,L-alanine,0.12454252200751476,0.17817416658121926,0.033010524278807,0.257373599157376,0.005780383468964,0.106015254863009
4,s_1056,L-valine,0.02987729771604011,0.04274502516594589,0.007951804007073,0.067777490763393,0.001192032275284,0.0314663293224
5,s_1039,L-serine,0.002613510653706507,0.008166883478735494,0.003113876352384,0.040491056677742,0.001531539093313,0.035100859611521
6,s_1045,L-threonine,0.018020977397816797,0.030260156276573223,0.006608135327799,0.104085680589827,0.003850042185754,0.079945113752632
7,s_0965,L-arginine,-0.002089280206421526,0.0007473409997195229,0.001234184717196,0.024005281717693,0.001272246733634,0.024676251321044
8,s_1266,L-ornithine,0.07186457716299227,0.10141825688345574,0.017457415569665,0.144699074651141,0.00602297470388,0.058057657627917
9,s_1025,L-lysine,0.005741137085801177,0.012381123140116817,0.003529223469961,0.043795432125061,0.002181704914316,0.034734302012102
10,s_0991,L-glutamic acid,0.1763712803326966,0.2320249148137894,0.031647333173831,0.444965217307088,0.014416510055374,0.240767119733845
11,s_0999,L-glutamine,0.006363256385032082,0.0193922120052439,0.007623828927283,0.072987159002677,0.002856509730974,0.060109424807539
12,s_0973,L-aspartic acid,0.004634279307659232,0.009913644073316772,0.00260437325341,0.058493346019265,0.002024866725,0.051219384328777
13,s_0969,L-asparagine,0.002391121842795033,0.0038565333374149663,0.000855369764864,0.009797046757312,0.000326853743146,0.006673219167207
14,s_1006,L-histidine,0.011530696987843522,0.02143274031648447,0.004943961061163,0.063051353790004,0.003720518604877,0.04656963513784
15,s_1051,L-tyrosine,-0.0016834965772945293,-0.0009941998103814708,0.000382822067398,0.002515595296731,0.000197402212885,0.003854443490569
16,s_1032,L-phenylalanine,-0.0011602712986734944,-0.00042656768086450674,0.000417162073024,0.004110975500787,0.000190183764089,0.004904394990556
17,s_1035,L-proline,0.00033322440412603376,0.0015482220803299668,0.000627181764536,0.003070093081926,0.000427844655294,0.002129369839698
18,s_1458,Succinic acid,-0.009760058507613266,-0.0015463785040467437,0.003096443501969,0.034061712411131,0.004093213564098,0.039714930916961
19,s_0066,Malic acid,0.009666743514088472,0.015177697916245528,0.003242127223103,0.036032871694881,0.001160686355066,0.023610650979714
20,s_0522,Citric acid,-0.0050133676049333754,0.00027793162054138036,0.002941195390827,0.023260580175636,0.001510454834393,0.025628298167832
21,s_0725,Fumaric acid,-0.0027247161759539,-0.0016056074575341002,0.000568525361174,0.003614750000856,0.000407180053139,0.0057799118176
22,s_0750,Red_Glutathione,-0.003991366527555969,-0.0020403443951480336,0.000931997259155,0.013532900286256,0.000785920445683,0.016548755747608
23,s_0754,Oxid_Glutathione,0.00038088638807638026,0.00228565094068962,0.000992159344295,0.006627650711768,0.000657470201756,0.005294382047385
24,s_1520,Trehalose,0.0018226892041888593,0.0033111151990251417,0.000880640119316,0.004203088499259,0.000299178607097,0.001636186297652
25,s_0563,D-Glucose,-0.004108910720035754,0.0008620911949197493,0.002236154994721,0.017613755710606,0.002155984755827,0.019237165473164
26,s_1270,Orotidine,-0.0035765407541152915,-0.001718430141620707,0.001017949984415,0.005551704154874,0.000558460606444,0.008199189602742
27,s_0765,Glycerol,-0.33288368641912125,0.01698112324031731,0.156907334292081,0.773897252945399,0.152232642761182,0.931848534534801
28,s_1203,NADH,0.0014605523700395016,0.0027176062087944986,0.000616010516342,0.004216500735106,0.000487374058099,0.002127421445689
29,s_1198,NAD,-0.0015143793802245918,0.0011162841878525904,0.001118781933638,0.020390794163754,0.001204358230732,0.02058984175994
30,s_1207,NADP(+),-0.0006729318793340489,-0.0002615172116099512,0.000215503415935,0.002202140026595,0.00014017389216,0.002669364572067
31,s_0434,ATP,-0.0002637823562898953,0.0027251684020458944,0.001601745255223,0.009527225540525,0.000960590807383,0.008296532517647
32,s_0394,ADP,-0.0010122003143595826,0.0014026548653955826,0.001263954151512,0.00822580079569,0.000824263805105,0.008030573520172
33,s_0423,AMP,-0.0001766667904596474,0.0029006476118396476,0.001817256442379,0.003594937568502,0.000628652482276,0.002232947157812
34,s_1489,Thiamine(1+),0.004479233490929765,0.008381456382930237,0.002397555512975,0.012830711000492,0.000444332352986,0.006400366063562
35,s_1543,UDP-Glucose,-0.00047653125452512405,-9.36780906808755e-05,0.00018768181007,0.001742325648034,0.000148351454869,0.002027430320637
