,0perc,,2perc,,4perc,,6perc,
Metabolites,avg,sd,avg,sd,avg,sd,avg,sd
Isopropylmalate,0.001184915451107,0.000477556147427,0.002112155929929,0.000404008714249,0.002298598054226,0.00050395036483,0.002837438847865,0.00039414877
L-leucine,0.166417760234358,0.024060231456046,0.415676535245764,0.043258128353069,0.727697363582004,0.050034113978904,0.845560055837336,0.100934525717968
L-methionine,0.193963729674737,0.033341746953955,0.431587381948964,0.051521341707564,0.668390435312951,0.047771338356723,0.816155779219694,0.08246642166082
L-alanine,0.052705142813183,0.011921693936293,0.218993621889329,0.015159172956369,0.532978610432837,0.045458648013115,0.831717950133755,0.055567574290865
L-valine,0.023372697562225,0.003842878203933,0.067916293024153,0.008128140232183,0.140778374907526,0.007986575066773,0.169961768140373,0.018903891591567
L-glycine,0.031115283222318,0.00492212088596,0.086870661837523,0.007781811941639,0.114441629071064,0.011949216483704,0.129898668808989,0.021477429505789
L-serine,0.03107203727331,0.00232015838264,0.041780856716362,0.004471548328658,0.047597233065975,0.004241873505335,0.049518609262962,0.006756483650746
L-threonine,0.052518211335477,0.00703617620164,0.096979568961774,0.003744853595104,0.14606560695627,0.009881266812914,0.161432395912304,0.014677995938528
L-arginine,0.02160697566521,0.002098111478734,0.021319221050818,0.002413545433364,0.0241288247365,0.002674283092767,0.016077471383141,0.002706702390864
L-ornithine,0.07605860065923,0.015290461621599,0.166843534462472,0.031734150899783,0.235310444447965,0.061660835300117,0.141541574808849,0.015233334357611
L-lysine,0.038319927981532,0.005267526194321,0.052630370333447,0.007385675982913,0.069929834595208,0.008100469329884,0.05188608205622,0.002855249349427
L-glutamic acid,0.199852895685723,0.032945450049813,0.485839214316124,0.023721349694362,0.819485929703406,0.037445794019429,0.918060349744835,0.039107329888679
L-glutamine,0.03857323638627,0.00655469096481,0.075154745047198,0.003888567853801,0.142719803594436,0.009253035397629,0.212929579696215,0.006232042609466
L-aspartic acid,0.033779355359858,0.006265738829978,0.059257669827372,0.00929209782396,0.08168884215145,0.004764378802204,0.10335980947469,0.007655115793382
L-asparagine,0.004207512900782,0.000801876501432,0.009054864760647,0.000802258773775,0.019459984862187,0.001417222162729,0.028660541558727,0.00269761413708
L-histidine,0.045447772293475,0.002729183165983,0.050629821533593,0.00488985674952,0.06850019522064,0.006135350735064,0.127893597697692,0.002777154680186
L-tyrosine,0.001885273723033,0.000171260066869,0.001774390375083,0.000521260710493,0.002726054482574,0.000249681720044,0.004232067250578,0.000460157774081
L-phenylalanine,0.002501030640256,0.000406559746379,0.003191321068142,0.000277082926254,0.004391625470561,0.00039179388879,0.005102336045194,0.000317012482073
L-proline,0.002084858883992,0.000133290250025,0.002574618543877,0.000333703436621,0.003798300698041,0.000281779803268,0.004958142043395,0.000969568843485
Succinic acid,0.016478340308821,0.003466701460622,0.037544626020626,0.003381349415874,0.060578152833114,0.003835272650579,0.079734800841716,0.008773669949116
Malic acid,0.017549747865493,0.003662739173712,0.040508049829945,0.005871751364392,0.068419599204889,0.004528645237389,0.093402077373235,0.013852087705946
Citric acid,0.012322877147512,0.001848256943584,0.02507061886977,0.002930551983401,0.029455823367699,0.002639391157185,0.044433405450382,0.005572881848511
Fumaric acid,0.001835930985805,0.000471108788333,0.002871543328928,9.85113758817915E-05,0.003478693921189,0.000592050155232,0.00365480329771,0.000292691990541
Red_Glutathione,0.013700231058781,0.001742193468478,0.013759246051601,0.001918637159591,0.015063850617915,0.00258916734227,0.01738535692771,0.002367605124516
Oxid_Glutathione,0.006233853736136,0.000824717448356,0.005300380774491,0.000868402418611,0.005239084111755,0.001423228096808,0.004713126278618,0.001440459304271
Trehalose,0.00639109975269,0.001919682130586,0.019304922644292,0.017056123018845,0.111557556155384,0.02395974378538,0.746695397775332,0.064250064357316
D-Glucose,0.027435825924771,0.004732039427468,0.015764533838268,0.002255906304073,0.020357420968205,0.008957743668615,0.017801991038034,0.009534126326291
Orotidine,0.002783769223382,0.000704844005832,0.003735478265491,0.000495986724288,0.005558376753039,0.001127408957648,0.004288191298538,0.000720039727718
Glycerol,0.070503558357762,0.021059773276192,0.174289178028164,0.022973452868979,0.168385544977154,0.030337536158024,0.08602276024615,0.016203667633998
NADH,0.001874835231129,0.000472955241693,0.004093326385857,0.000782883569059,0.004022489143867,0.002001838607394,0.005616618761361,0.000761968222342
NAD,0.024166686672304,0.000977059753696,0.022152306332538,0.000742332647332,0.022226846804138,0.001471103368126,0.018321357844362,0.000716902314542
NADP(+),0.00306351842224,0.000196361404613,0.002311156246424,0.000216950780446,0.002308659232754,0.000260850443483,0.001850084292726,0.00011679120938
ATP,0.008981214668299,0.000739428202395,0.01128524302576,0.002970683793863,0.009920290316341,0.002283852037614,0.007650370425241,0.001837824884452
ADP,0.009310101651015,0.000671664808718,0.011037574897154,0.001897006044366,0.011711600086774,0.001411949083165,0.011812413218073,0.001753640276173
AMP,0.001932122339948,0.000980495347535,0.003185539660267,0.001148098122534,0.001495609429004,0.000632994850227,0.001493137354496,0.000863995603372
Thiamine(1+),0.008785598617928,0.001192185243996,0.014195748347312,0.002401438005778,0.01255051284115,0.001618021236709,0.010111069188771,0.002624847140348
UDP-Glucose,0.001893311868603,0.000210671611848,0.001558777376244,0.000246560504512,0.001762372218973,0.000211080154141,0.00208238811358,0.000298197293749
